Monthly Report,
2026.3.1-2026.3.31,
Plant Name:,painel-solar-andrade-cardoso,Plant Type:,MicroINV,
Production:,518.30kWh,
- to load and battery:,518.30kWh,Self Consumption:,100.00%,
- feed into the grid:,0kWh,
Consumption:,0kWh,
- from PV and battery:,0kWh,Self Sufficiency:,0%,
- purchase from the grid:,0kWh,
Date,Production(kWh),Consumption(kWh),
2026.3.1,33.60,0,
2026.3.2,28.10,0,
2026.3.3,31.90,0,
2026.3.4,30.10,0,
2026.3.5,31.50,0,
2026.3.6,22.90,0,
2026.3.7,19.10,0,
2026.3.8,29.90,0,
2026.3.9,7.70,0,
2026.3.10,14.90,0,
2026.3.11,9.30,0,
2026.3.12,12.10,0,
2026.3.13,17.40,0,
2026.3.14,31.60,0,
2026.3.15,26.80,0,
2026.3.16,31.30,0,
2026.3.17,27.90,0,
2026.3.18,22.10,0,
2026.3.19,16.60,0,
2026.3.20,24.70,0,
2026.3.21,30.40,0,
2026.3.22,18.40,0,
2026.3.23,0,0,
2026.3.24,0,0,
2026.3.25,0,0,
2026.3.26,0,0,
2026.3.27,0,0,
2026.3.28,0,0,
2026.3.29,0,0,
2026.3.30,0,0,
2026.3.31,0,0,
