Monthly Report,
2026.2.1-2026.2.28,
Plant Name:,painel-solar-andrade-cardoso,Plant Type:,MicroINV,
Production:,675.40kWh,
- to load and battery:,675.40kWh,Self Consumption:,100.00%,
- feed into the grid:,0kWh,
Consumption:,0kWh,
- from PV and battery:,0kWh,Self Sufficiency:,0%,
- purchase from the grid:,0kWh,
Date,Production(kWh),Consumption(kWh),
2026.2.1,16.10,0,
2026.2.2,19.70,0,
2026.2.3,17.40,0,
2026.2.4,23.50,0,
2026.2.5,29.20,0,
2026.2.6,27.60,0,
2026.2.7,21.90,0,
2026.2.8,24.20,0,
2026.2.9,9.00,0,
2026.2.10,18.80,0,
2026.2.11,16.60,0,
2026.2.12,28.40,0,
2026.2.13,32.70,0,
2026.2.14,23.60,0,
2026.2.15,30.00,0,
2026.2.16,27.80,0,
2026.2.17,29.60,0,
2026.2.18,29.50,0,
2026.2.19,31.10,0,
2026.2.20,32.70,0,
2026.2.21,23.30,0,
2026.2.22,26.00,0,
2026.2.23,21.60,0,
2026.2.24,22.10,0,
2026.2.25,15.20,0,
2026.2.26,19.90,0,
2026.2.27,24.80,0,
2026.2.28,33.10,0,
